Molecule ChEMBL ID;Molecular Weight;#RO5 Violations;AlogP;Smiles;pChEMBL Value;Ligand Efficiency BEI;Assay Type;Activity_Class;std_Molecular Weight;std_AlogP;std_Ligand Efficiency BEI
CHEMBL5817080;385.43;0.0;2.98;COCC(C)(C)C(=O)NCCN1CC=C(c2cccc(C(F)(F)F)n2)CC1;7.68;19.92;1;1;0.08221948145236707;0.47591315172508214;0.21645492502855893
CHEMBL5823916;329.44;0.0;2.02;Cc1cccc(C2=CCN(CCNC(=O)C3CCOCC3)CC2)n1;9.4;28.53;1;1;0.06704254367537237;0.4420783585614022;0.31001300256349323
CHEMBL6005497;342.44;0.0;1.68;N#Cc1cccc(C2CCN(CCNC(=O)C3CCOCC3)CC2)n1;6.56;19.14;1;1;0.07056639063198838;0.43009520264926554;0.20797928037382618
CHEMBL5771610;360.5;0.0;1.87;CN(C)c1cccc(C2CCN(CCNC(=O)C3CCOCC3)CC2)n1;7.43;20.62;1;1;0.07546182725017957;0.4367916721295772;0.22406127279562674
CHEMBL71838;409.53;0.0;2.88;CNC(=O)c1ccc2c(c1)CCO[C@H]2CCN1CCN(c2ccc(OC)cc2)CC1;6.62;16.16;1;1;0.08875215157963215;0.47238869410386547;0.17559797130830881
CHEMBL53833;384.52;0.0;4.92;O=C(NCCCCN1CCc2ccccc2C1)c1ccc(-c2ccccc2)cc1;6.3;16.38;1;1;0.08197281216540395;0.5442876295766854;0.17798853774938728
CHEMBL98330;198.27;0.0;2.58;Cn1cc2c(n1)-c1ccccc1CCC2;5.0;25.218136884047006;1;0;0.03148692788311671;0.4618153212402155;0.274025598825117
CHEMBL321223;736.64;2.0;7.78;CN1CCc2cc(Br)c(O)cc2C(c2ccc(N/C(S)=N/c3ccc4c(c3)C(=O)OC43c4ccc(O)cc4Oc4cc(O)ccc43)cc2)C1;5.301029995663981;7.196228816876603;1;0;0.17742027296260654;0.645087117543482;0.07819574141794078
CHEMBL1928119;441.57;0.0;3.05;CCOCCOc1cccc(C(=O)NCCCN2CCN(c3ccccc3OC)CC2)c1;6.85;15.52;1;1;0.0974370790019381;0.47838027205993383;0.16864359620698965
CHEMBL1928128;997.29;3.0;6.17;COc1ccccc1N1CCN(CCCCNC(=O)c2ccc(COCCOCCOCCOCCOCCOCc3ccc(C(=O)NCCCCN4CCN(c5ccccc5OC)CC4)cc3)cc2)CC1;7.85;7.88;1;1;0.24807340444275777;0.5883433498418937;0.08562574343499217
CHEMBL1926700;977.18;2.0;4.39;COc1ccccc1N1CCN(CCCNC(=O)c2cnn3ccc(OCCOCCOCCOCCOc4ccn5ncc(C(=O)NCCCN6CCN(c7ccccc7OC)CC6)c5c4)cc23)CC1;8.57;8.77;1;1;0.24262228426602328;0.525608004184237;0.09529667131026413
CHEMBL5902206;393.49;0.0;2.83;Cn1cc2c(n1)CCCN(CCN1CCC(c3noc4ccccc34)CC1)C2=O;6.88;17.49;1;1;0.08440426656546901;0.47062646529325713;0.19005003206573767
CHEMBL5922735;395.53;0.0;2.46;Cn1ccc2c1CCN(CCN1CCN(c3nsc4ccccc34)CC1)C2=O;6.87;17.38;1;1;0.0849572394725072;0.4575859720947555;0.18885474884519846
CHEMBL5827336;421.57;0.0;3.07;CCc1cc2c(cn1)C(=O)N(CCN1CCN(c3nsc4ccccc34)CC1)CC2;7.03;16.68;1;1;0.09201577599175961;0.47908516358417713;0.18124840107813064
CHEMBL341225;364.28;0.0;4.2;Cc1ccc(OCCNCCCOc2ccc(Br)cc2)cc1;5.24;14.39;1;0;0.0764864535191033;0.5189115347039255;0.15636477766872303
CHEMBL213110;570.48;2.0;5.14;COc1cc(C(=O)NN2c3ccc(Cl)cc3N=C(N3CCN(C)CC3)c3cc(Cl)ccc32)cc(OC)c1OC;6.57;11.52;1;1;0.13238008755404362;0.5520414363433621;0.1251787518237449
